PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
HAY CREEK TWP.	Hay Creek Twp	Goodhue	542	278	258	539	51.58	47.87	4
HOLDEN TWP.	Holden Twp	Goodhue	269	172	94	267	64.42	35.21	29
KENYON	Kenyon	Goodhue	943	485	432	937	51.76	46.1	6
KENYON TWP.	Kenyon Twp	Goodhue	238	155	73	238	65.13	30.67	34
LAKE CITY	Lake City	Goodhue	468	234	224	465	50.32	48.17	2
LEON TWP.	Leon Twp	Goodhue	601	323	264	599	53.92	44.07	10
MINNEOLA TWP.	Minneola Twp	Goodhue	400	231	161	399	57.89	40.35	18
PINE ISLAND	Pine Island	Goodhue	1418	738	632	1410	52.34	44.82	8
PINE ISLAND TWP.	Pine Island Twp	Goodhue	350	210	130	349	60.17	37.25	23
RED WING W-1 P-1	Red Wing	Goodhue	1096	517	548	1093	47.3	50.14	-3
RED WING W-1 P-2	Red Wing	Goodhue	1146	526	591	1145	45.94	51.62	-6
RED WING W-2 P-1	Red Wing	Goodhue	1230	467	722	1226	38.09	58.89	-21
RED WING W-2 P-2	Red Wing	Goodhue	1066	501	546	1059	47.31	51.56	-4
RED WING W-3 P-1	Red Wing	Goodhue	1255	472	748	1253	37.67	59.7	-22
RED WING W-3 P-2	Red Wing	Goodhue	1029	485	525	1027	47.22	51.12	-4
RED WING W-4 P-1	Red Wing	Goodhue	977	331	605	970	34.12	62.37	-28
RED WING W-4 P-2	Red Wing	Goodhue	949	373	545	946	39.43	57.61	-18
ROSCOE TWP.	Roscoe Twp	Goodhue	455	266	171	449	59.24	38.08	21
STANTON TWP.	Stanton Twp	Goodhue	686	397	276	682	58.21	40.47	18
VASA TWP.	Vasa Twp	Goodhue	549	273	256	548	49.82	46.72	3
WACOUTA TWP.	Wacouta Twp	Goodhue	277	111	160	276	40.22	57.97	-18
WANAMINGO	Wanamingo	Goodhue	580	351	210	576	60.94	36.46	24
WANAMINGO TWP.	Wanamingo Twp	Goodhue	274	209	61	272	76.84	22.43	54
WARSAW TWP.	Warsaw Twp	Goodhue	381	200	169	381	52.49	44.36	8
WELCH TWP.	Welch Twp	Goodhue	464	230	216	460	50	46.96	3
ZUMBROTA P-1	Zumbrota	Goodhue	793	390	384	785	49.68	48.92	1
ZUMBROTA P-2	Zumbrota	Goodhue	977	512	434	972	52.67	44.65	8
ZUMBROTA TWP.	Zumbrota Twp	Goodhue	363	216	137	360	60	38.06	22
ASHBY	Ashby	Grant	249	114	125	248	45.97	50.4	-4
BARRETT	Barrett	Grant	175	67	97	173	38.73	56.07	-17
DELAWARE TWP	Delaware Twp	Grant	68	27	41	68	39.71	60.29	-21
ELBOW LAKE	Elbow Lake	Grant	645	327	288	638	51.25	45.14	6
ELBOW LAKE TWP	Elbow Lake Twp	Grant	87	51	36	87	58.62	41.38	17
ELK LAKE TWP	Elk Lake Twp	Grant	196	98	94	195	50.26	48.21	2
ERDAHL TWP	Erdahl Twp	Grant	244	118	124	244	48.36	50.82	-2
GORTON TWP	Gorton Twp	Grant	29	15	13	29	51.72	44.83	7
HERMAN	Herman	Grant	232	100	128	231	43.29	55.41	-12
HOFFMAN	Hoffman	Grant	343	166	162	339	48.97	47.79	1
LAND TWP	Land Twp	Grant	151	82	66	151	54.3	43.71	11
LAWRENCE TWP	Lawrence Twp	Grant	61	53	7	61	86.89	11.48	75
LIEN TWP	Lien Twp	Grant	84	42	41	83	50.6	49.4	1
LOGAN TWP	Logan Twp	Grant	50	19	30	50	38	60	-22
MACSVILLE TWP	Macsville Twp	Grant	75	37	34	75	49.33	45.33	4
NORCROSS	Norcross	Grant	40	22	16	40	55	40	15
NORTH OTTAWA TWP	North Ottawa Twp	Grant	37	19	14	36	52.78	38.89	14
PELICAN LAKE TWP	Pelican Lake Twp	Grant	303	172	125	303	56.77	41.25	16
POMME DE TERRE TWP	Pomme De Terre Twp	Grant	90	42	44	90	46.67	48.89	-2
ROSEVILLE TWP	Roseville Twp	Grant	74	46	26	73	63.01	35.62	27
SANFORD TWP	Sanford Twp	Grant	100	49	49	100	49	49	0
STONY BROOK TWP	Stony Brook Twp	Grant	84	38	43	83	45.78	51.81	-6
WENDELL	Wendell	Grant	92	44	44	90	48.89	48.89	0
BLOOMINGTON W-1 P-07	Bloomington	Hennepin	1491	630	817	1484	42.45	55.05	-13
BLOOMINGTON W-1 P-08	Bloomington	Hennepin	1532	675	819	1529	44.15	53.56	-9
BLOOMINGTON W-1 P-09	Bloomington	Hennepin	1276	441	795	1269	34.75	62.65	-28
BLOOMINGTON W-1 P-10	Bloomington	Hennepin	1903	760	1076	1894	40.13	56.81	-17
BLOOMINGTON W-1 P-12	Bloomington	Hennepin	1896	754	1095	1892	39.85	57.88	-18
BLOOMINGTON W-1 P-14	Bloomington	Hennepin	1638	718	877	1633	43.97	53.7	-10
BLOOMINGTON W-1 P-15	Bloomington	Hennepin	1262	567	663	1257	45.11	52.74	-8
BLOOMINGTON W-1 P-30	Bloomington	Hennepin	1844	739	1061	1833	40.32	57.88	-18
BLOOMINGTON W-2 P-13	Bloomington	Hennepin	1865	824	992	1858	44.35	53.39	-9
BLOOMINGTON W-2 P-16	Bloomington	Hennepin	2617	1169	1394	2608	44.82	53.45	-9
BLOOMINGTON W-2 P-21	Bloomington	Hennepin	1369	677	668	1366	49.56	48.9	1
BLOOMINGTON W-2 P-23	Bloomington	Hennepin	1939	715	1166	1931	37.03	60.38	-23
BLOOMINGTON W-2 P-24	Bloomington	Hennepin	1770	856	871	1768	48.42	49.26	-1
BLOOMINGTON W-2 P-25	Bloomington	Hennepin	1403	818	565	1397	58.55	40.44	18
BLOOMINGTON W-2 P-26	Bloomington	Hennepin	1781	791	958	1781	44.41	53.79	-9
BLOOMINGTON W-2 P-27	Bloomington	Hennepin	1283	638	620	1280	49.84	48.44	1
BLOOMINGTON W-3 P-05	Bloomington	Hennepin	2088	827	1202	2079	39.78	57.82	-18
BLOOMINGTON W-3 P-11	Bloomington	Hennepin	1324	546	751	1321	41.33	56.85	-16
BLOOMINGTON W-3 P-17	Bloomington	Hennepin	1262	630	612	1258	50.08	48.65	1
BLOOMINGTON W-3 P-18	Bloomington	Hennepin	1060	558	488	1057	52.79	46.17	7
BLOOMINGTON W-3 P-19	Bloomington	Hennepin	1929	756	1126	1922	39.33	58.58	-19
BLOOMINGTON W-3 P-20	Bloomington	Hennepin	1718	643	1038	1713	37.54	60.6	-23
BLOOMINGTON W-3 P-22	Bloomington	Hennepin	1774	896	854	1773	50.54	48.17	2
BLOOMINGTON W-3 P-28	Bloomington	Hennepin	1599	795	774	1594	49.87	48.56	1
BLOOMINGTON W-3 P-29	Bloomington	Hennepin	1323	494	786	1318	37.48	59.64	-22
BLOOMINGTON W-4 P-01	Bloomington	Hennepin	1233	440	760	1225	35.92	62.04	-26
BLOOMINGTON W-4 P-02	Bloomington	Hennepin	1919	538	1311	1898	28.35	69.07	-41
BLOOMINGTON W-4 P-03	Bloomington	Hennepin	1724	687	976	1719	39.97	56.78	-17
BLOOMINGTON W-4 P-04	Bloomington	Hennepin	1613	587	954	1596	36.78	59.77	-23
BLOOMINGTON W-4 P-06	Bloomington	Hennepin	1898	760	1069	1877	40.49	56.95	-16
BLOOMINGTON W-4 P-31	Bloomington	Hennepin	914	344	537	903	38.1	59.47	-21
BLOOMINGTON W-4 P-32	Bloomington	Hennepin	1286	416	835	1281	32.47	65.18	-33
BROOKLYN CENTER P-01	Brooklyn Center	Hennepin	1990	524	1391	1986	26.38	70.04	-44
BROOKLYN CENTER P-02	Brooklyn Center	Hennepin	1724	407	1268	1710	23.8	74.15	-50
BROOKLYN CENTER P-03	Brooklyn Center	Hennepin	2196	650	1494	2190	29.68	68.22	-39
BROOKLYN CENTER P-04	Brooklyn Center	Hennepin	2339	657	1624	2328	28.22	69.76	-42
BROOKLYN CENTER P-05	Brooklyn Center	Hennepin	2596	780	1754	2578	30.26	68.04	-38
BROOKLYN CENTER P-06	Brooklyn Center	Hennepin	1467	425	993	1464	29.03	67.83	-39
BROOKLYN CENTER P-07	Brooklyn Center	Hennepin	1311	340	920	1303	26.09	70.61	-45
BROOKLYN PARK W-C P-1	Brooklyn Park	Hennepin	1164	261	885	1159	22.52	76.36	-54
BROOKLYN PARK W-C P-2	Brooklyn Park	Hennepin	1318	445	839	1314	33.87	63.85	-30
BROOKLYN PARK W-C P-3	Brooklyn Park	Hennepin	1676	389	1247	1661	23.42	75.08	-52
BROOKLYN PARK W-C P-4	Brooklyn Park	Hennepin	1388	348	998	1377	25.27	72.48	-47
BROOKLYN PARK W-C P-5	Brooklyn Park	Hennepin	1957	836	1084	1949	42.89	55.62	-13
BROOKLYN PARK W-C P-6	Brooklyn Park	Hennepin	1758	677	1033	1736	39	59.5	-20
BROOKLYN PARK W-C P-7	Brooklyn Park	Hennepin	1715	725	964	1711	42.37	56.34	-14
BROOKLYN PARK W-C P-8	Brooklyn Park	Hennepin	1747	877	832	1740	50.4	47.82	3
BROOKLYN PARK W-E P-1A	Brooklyn Park	Hennepin	1476	427	1010	1470	29.05	68.71	-40
BROOKLYN PARK W-E P-1O	Brooklyn Park	Hennepin	1575	519	1022	1567	33.12	65.22	-32
BROOKLYN PARK W-E P-2	Brooklyn Park	Hennepin	1832	671	1117	1826	36.75	61.17	-24
BROOKLYN PARK W-E P-3	Brooklyn Park	Hennepin	1092	332	731	1087	30.54	67.25	-37
BROOKLYN PARK W-E P-4A	Brooklyn Park	Hennepin	2125	1037	1062	2122	48.87	50.05	-1
BROOKLYN PARK W-E P-4O	Brooklyn Park	Hennepin	1311	595	699	1304	45.63	53.6	-8
BROOKLYN PARK W-E P-5	Brooklyn Park	Hennepin	738	351	366	736	47.69	49.73	-2
BROOKLYN PARK W-E P-6A	Brooklyn Park	Hennepin	1989	903	1052	1986	45.47	52.97	-7
BROOKLYN PARK W-E P-6O	Brooklyn Park	Hennepin	1953	835	1084	1944	42.95	55.76	-13
BROOKLYN PARK W-W P-1O	Brooklyn Park	Hennepin	1635	510	1087	1627	31.35	66.81	-35
BROOKLYN PARK W-W P-1R	Brooklyn Park	Hennepin	2389	770	1580	2385	32.29	66.25	-34
BROOKLYN PARK W-W P-2	Brooklyn Park	Hennepin	1279	396	835	1269	31.21	65.8	-35
BROOKLYN PARK W-W P-3	Brooklyn Park	Hennepin	2031	446	1527	2009	22.2	76.01	-54
BROOKLYN PARK W-W P-4	Brooklyn Park	Hennepin	1909	681	1179	1897	35.9	62.15	-26
BROOKLYN PARK W-W P-5	Brooklyn Park	Hennepin	1332	317	988	1329	23.85	74.34	-50
BROOKLYN PARK W-W P-6	Brooklyn Park	Hennepin	500	198	295	499	39.68	59.12	-19
CHAMPLIN W-1 P-01	Champlin	Hennepin	3662	1782	1777	3650	48.82	48.68	0
CHAMPLIN W-2 P-01	Champlin	Hennepin	3583	1972	1540	3573	55.19	43.1	12
CHAMPLIN W-3 P-01	Champlin	Hennepin	3147	1640	1425	3134	52.33	45.47	7
CHAMPLIN W-4 P-01	Champlin	Hennepin	3233	1612	1524	3224	50	47.27	3
CHANHASSEN P-01	Chanhassen	Hennepin	0	0	0	0			
CHANHASSEN P-02	Chanhassen	Hennepin	0	0	0	0			
CORCORAN P-01	Corcoran	Hennepin	1941	1293	592	1927	67.1	30.72	36
CORCORAN P-02	Corcoran	Hennepin	1504	938	521	1500	62.53	34.73	28
CRYSTAL W-1 P-01	Crystal	Hennepin	1830	697	1076	1820	38.3	59.12	-21
CRYSTAL W-1 P-02	Crystal	Hennepin	770	268	468	765	35.03	61.18	-26
CRYSTAL W-1 P-03	Crystal	Hennepin	578	233	328	576	40.45	56.94	-16
CRYSTAL W-2 P-01	Crystal	Hennepin	1637	633	930	1630	38.83	57.06	-18
CRYSTAL W-2 P-02	Crystal	Hennepin	1262	497	725	1252	39.7	57.91	-18
CRYSTAL W-2 P-03	Crystal	Hennepin	612	192	398	609	31.53	65.35	-34
CRYSTAL W-3 P-01	Crystal	Hennepin	1052	368	650	1047	35.15	62.08	-27
CRYSTAL W-3 P-02	Crystal	Hennepin	1710	658	999	1700	38.71	58.76	-20
CRYSTAL W-3 P-03	Crystal	Hennepin	400	129	256	396	32.58	64.65	-32
CRYSTAL W-4 P-01	Crystal	Hennepin	1670	620	996	1656	37.44	60.14	-23
CRYSTAL W-4 P-02	Crystal	Hennepin	1350	444	856	1344	33.04	63.69	-31
DAYTON P-01	Dayton	Hennepin	515	304	190	513	59.26	37.04	22
DAYTON P-02	Dayton	Hennepin	430	248	173	428	57.94	40.42	18
DAYTON P-03	Dayton	Hennepin	1797	1100	643	1791	61.42	35.9	26
DEEPHAVEN P-01	Deephaven	Hennepin	1226	717	490	1223	58.63	40.07	19
DEEPHAVEN P-02	Deephaven	Hennepin	1335	666	647	1331	50.04	48.61	1
EDEN PRAIRIE P-01	Eden Prairie	Hennepin	1624	820	771	1618	50.68	47.65	3
EDEN PRAIRIE P-02	Eden Prairie	Hennepin	1827	864	919	1822	47.42	50.44	-3
EDEN PRAIRIE P-03	Eden Prairie	Hennepin	1690	774	876	1682	46.02	52.08	-6
EDEN PRAIRIE P-04	Eden Prairie	Hennepin	1821	776	999	1814	42.78	55.07	-12
EDEN PRAIRIE P-05	Eden Prairie	Hennepin	2042	1012	998	2042	49.56	48.87	1
EDEN PRAIRIE P-06	Eden Prairie	Hennepin	1710	789	883	1705	46.28	51.79	-6
EDEN PRAIRIE P-07	Eden Prairie	Hennepin	1445	717	694	1441	49.76	48.16	2
EDEN PRAIRIE P-08	Eden Prairie	Hennepin	1218	618	574	1212	50.99	47.36	4
EDEN PRAIRIE P-09	Eden Prairie	Hennepin	2179	1201	937	2174	55.24	43.1	12
EDEN PRAIRIE P-10	Eden Prairie	Hennepin	2038	1091	902	2030	53.74	44.43	9
EDEN PRAIRIE P-11	Eden Prairie	Hennepin	1646	628	956	1640	38.29	58.29	-20
EDEN PRAIRIE P-12	Eden Prairie	Hennepin	2003	865	1096	1998	43.29	54.85	-12
EDEN PRAIRIE P-13	Eden Prairie	Hennepin	1789	821	928	1785	45.99	51.99	-6
EDEN PRAIRIE P-14	Eden Prairie	Hennepin	2561	1288	1218	2554	50.43	47.69	3
EDEN PRAIRIE P-15	Eden Prairie	Hennepin	1874	909	919	1864	48.77	49.3	-1
EDEN PRAIRIE P-16	Eden Prairie	Hennepin	2449	1294	1108	2445	52.92	45.32	8
EDEN PRAIRIE P-17	Eden Prairie	Hennepin	1517	862	632	1516	56.86	41.69	15
EDEN PRAIRIE P-18	Eden Prairie	Hennepin	2308	1392	877	2305	60.39	38.05	22
EDEN PRAIRIE P-19	Eden Prairie	Hennepin	2889	1613	1240	2883	55.95	43.01	13
EDINA P-01A	Edina	Hennepin	1772	828	911	1767	46.86	51.56	-5
EDINA P-01B	Edina	Hennepin	1815	998	798	1812	55.08	44.04	11
EDINA P-02	Edina	Hennepin	1386	541	818	1379	39.23	59.32	-20
EDINA P-03	Edina	Hennepin	2105	1166	914	2096	55.63	43.61	12
EDINA P-04	Edina	Hennepin	1717	604	1092	1714	35.24	63.71	-28
EDINA P-05	Edina	Hennepin	1915	997	891	1910	52.2	46.65	6
EDINA P-06	Edina	Hennepin	1762	829	896	1760	47.1	50.91	-4
EDINA P-07	Edina	Hennepin	1269	589	668	1269	46.41	52.64	-6
EDINA P-08	Edina	Hennepin	1667	782	861	1660	47.11	51.87	-5
EDINA P-09	Edina	Hennepin	1606	636	940	1601	39.73	58.71	-19
EDINA P-10C	Edina	Hennepin	1317	731	570	1314	55.63	43.38	12
EDINA P-11	Edina	Hennepin	1865	850	988	1860	45.7	53.12	-7
EDINA P-12	Edina	Hennepin	707	373	324	704	52.98	46.02	7
EDINA P-13	Edina	Hennepin	1216	426	768	1214	35.09	63.26	-28
EDINA P-14	Edina	Hennepin	1853	700	1125	1851	37.82	60.78	-23
EDINA P-15C	Edina	Hennepin	1699	918	759	1693	54.22	44.83	9
EDINA P-16	Edina	Hennepin	1749	816	917	1745	46.76	52.55	-6
EDINA P-17	Edina	Hennepin	1226	436	765	1222	35.68	62.6	-27
EDINA P-18	Edina	Hennepin	2084	768	1278	2071	37.08	61.71	-25
EDINA P-19C	Edina	Hennepin	1111	630	469	1108	56.86	42.33	15
EXCELSIOR P-01	Excelsior	Hennepin	1317	564	712	1308	43.12	54.43	-11
FORT SNELLING P-01	Fort Snelling Unorganized	Hennepin	84	20	59	84	23.81	70.24	-46
GOLDEN VALLEY P-1A	Golden Valley	Hennepin	1611	473	1092	1608	29.42	67.91	-38
GOLDEN VALLEY P-2A	Golden Valley	Hennepin	2258	692	1502	2240	30.89	67.05	-36
GOLDEN VALLEY P-3C	Golden Valley	Hennepin	1550	444	1089	1548	28.68	70.35	-42
GOLDEN VALLEY P-4	Golden Valley	Hennepin	1690	641	1009	1685	38.04	59.88	-22
GOLDEN VALLEY P-5C	Golden Valley	Hennepin	1358	416	924	1358	30.63	68.04	-37
GOLDEN VALLEY P-6	Golden Valley	Hennepin	1898	665	1191	1888	35.22	63.08	-28
GOLDEN VALLEY P-7B	Golden Valley	Hennepin	1852	651	1158	1844	35.3	62.8	-27
GOLDEN VALLEY P-8B	Golden Valley	Hennepin	1843	613	1188	1839	33.33	64.6	-31
GREENFIELD P-01	Greenfield	Hennepin	1774	1181	567	1771	66.69	32.02	35
GREENWOOD P-01	Greenwood	Hennepin	562	321	226	556	57.73	40.65	17
HANOVER P-1	Hanover	Hennepin	352	237	114	352	67.33	32.39	35
HOPKINS P-01	Hopkins	Hennepin	1299	425	843	1293	32.87	65.2	-32
HOPKINS P-02	Hopkins	Hennepin	1896	586	1261	1891	30.99	66.68	-36
HOPKINS P-03	Hopkins	Hennepin	1394	511	836	1385	36.9	60.36	-23
HOPKINS P-04	Hopkins	Hennepin	1286	345	892	1278	27	69.8	-43
HOPKINS P-05	Hopkins	Hennepin	1496	480	977	1494	32.13	65.39	-33
HOPKINS P-06	Hopkins	Hennepin	1759	632	1055	1751	36.09	60.25	-24
INDEPENDENCE P-01	Independence	Hennepin	2447	1593	825	2441	65.26	33.8	31
LONG LAKE P-01	Long Lake	Hennepin	1104	539	542	1099	49.04	49.32	0
LORETTO P-01	Loretto	Hennepin	426	268	145	424	63.21	34.2	29
MAPLE GROVE P-01	Maple Grove	Hennepin	1848	923	877	1840	50.16	47.66	3
MAPLE GROVE P-02	Maple Grove	Hennepin	1681	794	847	1678	47.32	50.48	-3
MAPLE GROVE P-03	Maple Grove	Hennepin	1433	704	695	1426	49.37	48.74	1
MAPLE GROVE P-04	Maple Grove	Hennepin	1367	696	627	1360	51.18	46.1	5
MAPLE GROVE P-05	Maple Grove	Hennepin	1857	946	869	1852	51.08	46.92	4
MAPLE GROVE P-06	Maple Grove	Hennepin	1650	841	774	1641	51.25	47.17	4
MAPLE GROVE P-07	Maple Grove	Hennepin	1951	1090	825	1946	56.01	42.39	14
MAPLE GROVE P-08	Maple Grove	Hennepin	1712	971	718	1709	56.82	42.01	15
MAPLE GROVE P-09	Maple Grove	Hennepin	1971	1079	844	1961	55.02	43.04	12
MAPLE GROVE P-10	Maple Grove	Hennepin	1937	960	933	1933	49.66	48.27	1
MAPLE GROVE P-11	Maple Grove	Hennepin	1721	961	723	1710	56.2	42.28	14
MAPLE GROVE P-12	Maple Grove	Hennepin	1419	664	717	1408	47.16	50.92	-4
MAPLE GROVE P-13	Maple Grove	Hennepin	1785	821	918	1778	46.18	51.63	-5
MAPLE GROVE P-14	Maple Grove	Hennepin	1461	844	585	1456	57.97	40.18	18
MAPLE GROVE P-15	Maple Grove	Hennepin	1621	794	792	1616	49.13	49.01	0
MAPLE GROVE P-16	Maple Grove	Hennepin	2007	1088	879	1998	54.45	43.99	10
MAPLE GROVE P-17	Maple Grove	Hennepin	1728	801	899	1725	46.43	52.12	-6
MAPLE GROVE P-18	Maple Grove	Hennepin	1930	1003	886	1924	52.13	46.05	6
MAPLE GROVE P-19	Maple Grove	Hennepin	1325	754	550	1322	57.03	41.6	15
MAPLE GROVE P-20	Maple Grove	Hennepin	1936	1170	732	1934	60.5	37.85	23
MAPLE GROVE P-21	Maple Grove	Hennepin	1610	929	661	1604	57.92	41.21	17
MAPLE GROVE P-22	Maple Grove	Hennepin	1597	1010	566	1595	63.32	35.49	28
MAPLE GROVE P-23	Maple Grove	Hennepin	1420	756	618	1414	53.47	43.71	10
MAPLE PLAIN  P-01	Maple Plain	Hennepin	1063	552	486	1060	52.08	45.85	6
MEDICINE LAKE P-01	Medicine Lake	Hennepin	253	99	144	253	39.13	56.92	-18
MEDINA P-1A	Medina	Hennepin	1467	923	517	1465	63	35.29	28
MEDINA P-1B	Medina	Hennepin	1773	1190	554	1770	67.23	31.3	36
MINNEAPOLIS W-1 P-01	Minneapolis	Hennepin	1671	365	1235	1664	21.94	74.22	-52
MINNEAPOLIS W-1 P-02	Minneapolis	Hennepin	2537	600	1836	2524	23.77	72.74	-49
MINNEAPOLIS W-1 P-03	Minneapolis	Hennepin	2230	449	1691	2222	20.21	76.1	-56
MINNEAPOLIS W-1 P-04	Minneapolis	Hennepin	1984	375	1517	1981	18.93	76.58	-58
MINNEAPOLIS W-1 P-05	Minneapolis	Hennepin	1765	359	1351	1762	20.37	76.67	-56
MINNEAPOLIS W-1 P-06	Minneapolis	Hennepin	2094	348	1624	2081	16.72	78.04	-61
MINNEAPOLIS W-1 P-07	Minneapolis	Hennepin	1804	402	1285	1797	22.37	71.51	-49
MINNEAPOLIS W-1 P-08	Minneapolis	Hennepin	1212	161	989	1208	13.33	81.87	-69
MINNEAPOLIS W-1 P-09	Minneapolis	Hennepin	2128	309	1693	2121	14.57	79.82	-65
MINNEAPOLIS W-2 P-01	Minneapolis	Hennepin	2628	330	2206	2621	12.59	84.17	-72
MINNEAPOLIS W-2 P-02	Minneapolis	Hennepin	1327	106	1154	1325	8	87.09	-79
MINNEAPOLIS W-2 P-03	Minneapolis	Hennepin	1654	289	1228	1642	17.6	74.79	-57
MINNEAPOLIS W-2 P-04	Minneapolis	Hennepin	1367	325	961	1353	24.02	71.03	-47
MINNEAPOLIS W-2 P-05	Minneapolis	Hennepin	1895	290	1518	1891	15.34	80.27	-65
MINNEAPOLIS W-2 P-06	Minneapolis	Hennepin	1093	172	851	1083	15.88	78.58	-63
MINNEAPOLIS W-2 P-07	Minneapolis	Hennepin	882	159	682	879	18.09	77.59	-59
MINNEAPOLIS W-2 P-08	Minneapolis	Hennepin	2508	355	2083	2497	14.22	83.42	-69
MINNEAPOLIS W-2 P-09	Minneapolis	Hennepin	1004	106	835	994	10.66	84	-73
MINNEAPOLIS W-2 P-10	Minneapolis	Hennepin	2343	808	1393	2337	34.57	59.61	-25
MINNEAPOLIS W-3 P-01	Minneapolis	Hennepin	2208	755	1317	2196	34.38	59.97	-26
MINNEAPOLIS W-3 P-02	Minneapolis	Hennepin	1822	322	1394	1816	17.73	76.76	-59
MINNEAPOLIS W-3 P-03	Minneapolis	Hennepin	2477	457	1918	2468	18.52	77.71	-59
MINNEAPOLIS W-3 P-04	Minneapolis	Hennepin	1617	251	1294	1613	15.56	80.22	-65
MINNEAPOLIS W-3 P-05	Minneapolis	Hennepin	1547	299	1191	1542	19.39	77.24	-58
MINNEAPOLIS W-3 P-06	Minneapolis	Hennepin	2504	341	2027	2485	13.72	81.57	-68
MINNEAPOLIS W-3 P-07	Minneapolis	Hennepin	2694	778	1844	2686	28.97	68.65	-40
MINNEAPOLIS W-3 P-08	Minneapolis	Hennepin	1780	470	1259	1776	26.46	70.89	-44
MINNEAPOLIS W-3 P-09	Minneapolis	Hennepin	1539	430	1080	1539	27.94	70.18	-42
MINNEAPOLIS W-4 P-01	Minneapolis	Hennepin	1515	289	1186	1510	19.14	78.54	-59
MINNEAPOLIS W-4 P-02	Minneapolis	Hennepin	2290	391	1844	2280	17.15	80.88	-64
MINNEAPOLIS W-4 P-03	Minneapolis	Hennepin	1254	129	1083	1246	10.35	86.92	-77
MINNEAPOLIS W-4 P-04	Minneapolis	Hennepin	2257	459	1740	2254	20.36	77.2	-57
MINNEAPOLIS W-4 P-05	Minneapolis	Hennepin	2401	251	2094	2398	10.47	87.32	-77
MINNEAPOLIS W-4 P-06	Minneapolis	Hennepin	1766	190	1537	1762	10.78	87.23	-76
MINNEAPOLIS W-4 P-07	Minneapolis	Hennepin	1621	337	1235	1614	20.88	76.52	-56
MINNEAPOLIS W-4 P-08	Minneapolis	Hennepin	1866	246	1572	1853	13.28	84.84	-72
MINNEAPOLIS W-5 P-01	Minneapolis	Hennepin	1873	114	1719	1869	6.1	91.97	-86
MINNEAPOLIS W-5 P-02	Minneapolis	Hennepin	1842	134	1667	1834	7.31	90.89	-84
MINNEAPOLIS W-5 P-03	Minneapolis	Hennepin	1325	55	1243	1316	4.18	94.45	-90
MINNEAPOLIS W-5 P-04	Minneapolis	Hennepin	1260	56	1175	1259	4.45	93.33	-89
MINNEAPOLIS W-5 P-05	Minneapolis	Hennepin	1365	84	1243	1351	6.22	92.01	-86
MINNEAPOLIS W-5 P-06C	Minneapolis	Hennepin	1762	142	1559	1748	8.12	89.19	-81
MINNEAPOLIS W-5 P-07	Minneapolis	Hennepin	1494	46	1425	1492	3.08	95.51	-92
MINNEAPOLIS W-5 P-08	Minneapolis	Hennepin	1723	143	1539	1719	8.32	89.53	-81
MINNEAPOLIS W-6 P-01	Minneapolis	Hennepin	683	30	614	679	4.42	90.43	-86
MINNEAPOLIS W-6 P-02	Minneapolis	Hennepin	1664	93	1494	1648	5.64	90.66	-85
MINNEAPOLIS W-6 P-03	Minneapolis	Hennepin	1975	114	1799	1960	5.82	91.79	-86
MINNEAPOLIS W-6 P-04	Minneapolis	Hennepin	2077	697	1269	2059	33.85	61.63	-28
MINNEAPOLIS W-6 P-05	Minneapolis	Hennepin	1018	70	910	1011	6.92	90.01	-83
MINNEAPOLIS W-6 P-06	Minneapolis	Hennepin	1103	145	900	1086	13.35	82.87	-70
MINNEAPOLIS W-6 P-07	Minneapolis	Hennepin	688	74	594	683	10.83	86.97	-76
MINNEAPOLIS W-6 P-08	Minneapolis	Hennepin	1077	98	931	1063	9.22	87.58	-78
MINNEAPOLIS W-6 P-09	Minneapolis	Hennepin	1568	128	1342	1560	8.21	86.03	-78
MINNEAPOLIS W-7 P-01C	Minneapolis	Hennepin	962	101	834	959	10.53	86.97	-76
MINNEAPOLIS W-7 P-02D	Minneapolis	Hennepin	1510	307	1181	1509	20.34	78.26	-58
MINNEAPOLIS W-7 P-03	Minneapolis	Hennepin	2282	362	1850	2279	15.88	81.18	-65
MINNEAPOLIS W-7 P-04D	Minneapolis	Hennepin	2039	552	1453	2034	27.14	71.44	-44
MINNEAPOLIS W-7 P-05	Minneapolis	Hennepin	1988	251	1657	1981	12.67	83.64	-71
MINNEAPOLIS W-7 P-06	Minneapolis	Hennepin	2350	529	1739	2339	22.62	74.35	-52
MINNEAPOLIS W-7 P-07	Minneapolis	Hennepin	1042	207	815	1037	19.96	78.59	-59
MINNEAPOLIS W-7 P-08	Minneapolis	Hennepin	3062	663	2300	3052	21.72	75.36	-54
MINNEAPOLIS W-7 P-09	Minneapolis	Hennepin	2355	412	1860	2348	17.55	79.22	-62
MINNEAPOLIS W-7 P-10	Minneapolis	Hennepin	729	95	596	724	13.12	82.32	-69
MINNEAPOLIS W-8 P-01	Minneapolis	Hennepin	1171	89	1031	1158	7.69	89.03	-81
MINNEAPOLIS W-8 P-02	Minneapolis	Hennepin	2254	215	1935	2244	9.58	86.23	-77
MINNEAPOLIS W-8 P-03	Minneapolis	Hennepin	1327	86	1192	1323	6.5	90.1	-84
